,Id,R,Nome,Squadra,Qt. A,Qt. I,Diff.,Tit
322,365,Dc,ZAPATA C,Milan,4,4,0,
323,353,Dd;E,ABATE,Milan,3,3,0,0.45
324,2774,T,HALILOVIC,Milan,2,2,0,0.5
325,362,Dc,SIMIC S,Milan,2,2,0,
326,216,Por,DONNARUMMA A,Milan,1,1,0,
327,2091,Por,PLIZZARI,Milan,1,1,0,0.1
328,387,Por,REINA,Milan,1,1,0,0.45
329,371,M;C,MAURI J,Milan,1,1,0,
330,410,A,MERTENS,Napoli,32,32,0,0.75
331,409,A,INSIGNE,Napoli,28,28,0,0.9
332,406,W;A,CALLEJON,Napoli,25,25,0,0.7
333,2012,Pc,MILIK,Napoli,25,25,0,0.75
334,376,T;A,VERDI,Napoli,18,18,0,0.65
335,397,M;C,ALLAN,Napoli,18,18,0,0.85
336,392,Dc,KOULIBALY,Napoli,17,17,0,0.9
337,402,C;T,HAMSIK,Napoli,15,15,0,0.8
338,572,Por,MERET,Napoli,14,14,0,0.8
339,152,C;T,ZIELINSKI,Napoli,14,14,0,0.75
340,2775,C;T,RUIZ,Napoli,14,14,0,0.65
341,388,Dc,ALBIOL,Napoli,13,13,0,0.9
342,58,M;C,DIAWARA,Napoli,10,10,0,0.6
343,140,Dd;Ds;E,HYSAJ,Napoli,10,10,0,0.9
344,390,Ds;E,GHOULAM,Napoli,9,9,0,0.65
345,142,Ds;E,MARIO RUI,Napoli,8,8,0,0.6
346,2860,Dd;E,MALCUIT,Napoli,7,7,0,0.5
347,2195,A,OUNAS,Napoli,7,7,0,0.45
348,2076,C;T,ROG,Napoli,5,5,0,0.45
349,550,Dc,MAKSIMOVIC,Napoli,4,4,0,0.45
350,640,Dc,CHIRICHES,Napoli,3,3,0,0.45
351,2776,A,YOUNES,Napoli,3,3,0,0.45
352,393,Ds;Dc,LUPERTO,Napoli,2,2,0,0.2
353,2468,Por,OSPINA,Napoli,1,1,0,0.5
354,2845,Por,CONTINI N,Napoli,1,1,0,
355,570,Por,KARNEZIS,Napoli,1,1,0,0.3
356,2243,W;T,CICIRETTI,Parma,14,14,0,0.75
357,123,Pc,INGLESE,Parma,12,12,0,0.85
358,2246,Pc,CERAVOLO,Parma,10,10,0,0.5
359,474,A,GERVINHO,Parma,10,10,0,0.75
360,27,C,GRASSI,Parma,9,9,0,0.8
361,73,Ds;Dc,GAGLIOLO,Parma,7,7,0,0.85
362,438,C,RIGONI L,Parma,7,7,0,
363,637,A,SILIGARDI,Parma,7,7,0,0.5
364,159,Por,SEPE,Parma,6,6,0,0.9
365,276,W,BIABIANY,Parma,5,5,0,0.6
366,2778,M;C,STULAC,Parma,5,5,0,0.9
367,254,Ds;E,DIMARCO,Parma,5,5,0,0.65
368,519,Dd;E,GAZZOLA,Parma,5,5,0,0.75
369,1864,Dc,BRUNO ALVES,Parma,5,5,0,0.8
370,400,C,DEZI,Parma,5,5,0,0.75
371,2805,A,BARAYE,Parma,5,5,0,0.3
372,2807,A,DA CRUZ,Parma,5,5,0,0.4
373,81,W;A,DI GAUDIO,Parma,4,4,0,0.7
374,1871,M;C,DEIOLA,Parma,3,3,0,0.45
375,2801,Dd;Dc,IACOPONI,Parma,3,3,0,0.55
376,2800,Dc,DI CESARE,Parma,3,3,0,0.2
377,2804,M;C,SCOZZARELLA,Parma,2,2,0,0.45
378,105,Ds;E,GOBBI,Parma,2,2,0,0.75
379,2802,C,BARILLA,Parma,2,2,0,0.5
380,2773,T;A,SPROCATI,Parma,1,1,0,0.4
381,2799,Por,FRATTALI,Parma,1,1,0,0.2
382,2875,Por,BAGHERIA,Parma,1,1,0,
383,2806,Pc,CALAIO,Parma,1,1,0,0.0
384,1875,M;C,MUNARI,Parma,1,1,0,
385,2120,Dc,BASTONI,Parma,1,1,0,0.45
386,647,Pc,DZEKO,Roma,35,35,0,0.9
387,2378,C;T,PASTORE,Roma,23,23,0,0.8
388,2201,A,UNDER,Roma,22,22,0,0.85
389,779,C;T,CRISTANTE,Roma,18,18,0,0.75
390,2779,A,KLUIVERT,Roma,18,18,0,0.7
391,237,W;T,PEROTTI,Roma,17,17,0,0.6
392,2214,Ds;E,KOLAROV,Roma,17,17,0,0.9
393,1974,Pc,SCHICK,Roma,16,16,0,0.6
394,795,A,EL SHAARAWY,Roma,16,16,0,0.65
395,2836,Por,OLSEN,Roma,14,14,0,0.8
396,464,Dd;E,FLORENZI,Roma,14,14,0,0.85
397,2617,M;C,NZONZI,Roma,13,13,0,0.7
398,530,C,PELLEGRINI LO,Roma,13,13,0,
399,470,M;C,STROOTMAN,Roma,12,12,0,0.7
400,459,Dc,MANOLAS,Roma,12,12,0,0.9
401,2016,Dc,FAZIO,Roma,11,11,0,0.75
402,463,M;C,DE ROSSI,Roma,8,8,0,0.7
403,256,Ds;Dc,JUAN JESUS,Roma,7,7,0,0.4
404,2782,Dc,MARCANO,Roma,7,7,0,0.6
405,2180,Dd;E,KARSDORP,Roma,6,6,0,0.45
406,262,Dd;Ds;E,SANTON,Roma,4,4,0,0.4
407,2728,Ds;E,PELLEGRINI LU,Roma,3,3,0,
408,2780,C;T,CORIC,Roma,3,3,0,0.5
409,2781,Por,FUZATO,Roma,1,1,0,0.1
410,41,Por,MIRANTE,Roma,1,1,0,0.45
411,2783,Dc,BIANDA,Roma,1,1,0,0.2
412,2852,C;T,RICCARDI,Roma,1,1,0,
413,2766,C;T,ZANIOLO,Roma,1,1,0,
414,568,Pc,QUAGLIARELLA,Sampdoria,27,27,0,0.9
415,643,Pc,DEFREL,Sampdoria,19,19,0,0.7
416,1987,C,JANKTO,Sampdoria,15,15,0,0.9
417,2287,T,RAMIREZ,Sampdoria,14,14,0,0.75
418,1958,T;A,CAPRARI,Sampdoria,11,11,0,0.65
419,2198,Pc,KOWNACKI,Sampdoria,11,11,0,0.7
420,2065,C;T,PRAET,Sampdoria,10,10,0,0.85
421,150,T,SAPONARA,Sampdoria,9,9,0,0.6
422,761,Por,AUDERO,Sampdoria,9,9,0,0.9
423,2391,M;C,EKDAL,Sampdoria,8,8,0,0.7
424,2104,Dd;E,BERESZYNSKI,Sampdoria,7,7,0,0.9
425,2784,Dc,COLLEY,Sampdoria,7,7,0,0.8
426,2855,M;C,VIEIRA,Sampdoria,6,6,0,0.55
427,494,M;C,BARRETO,Sampdoria,6,6,0,0.6
428,1868,Ds;E,MURRU,Sampdoria,6,6,0,0.55
429,144,Dc,TONELLI,Sampdoria,6,6,0,0.8
430,2320,Dc,ANDERSEN,Sampdoria,6,6,0,0.65
431,2008,C,LINETTY,Sampdoria,6,6,0,0.75
432,45,Dd;Dc,FERRARI A,Sampdoria,5,5,0,
433,2797,Ds;E,JUNIOR TAVARES,Sampdoria,3,3,0,
434,490,Ds;Dc,REGINI,Sampdoria,3,3,0,0.45
435,630,Dd;E,SALA,Sampdoria,3,3,0,0.45
436,2732,W;A,STIJEPOVIC,Sampdoria,1,1,0,0.2
437,720,Por,BELEC,Sampdoria,1,1,0,0.35
438,2134,Por,FALCONE,Sampdoria,1,1,0,0.1
439,386,Por,RAFAEL CABRAL,Sampdoria,1,1,0,
440,2785,M;C,PEETERS,Sampdoria,1,1,0,0.1
441,2300,Dc,LEVERBE,Sampdoria,1,1,0,0.1
442,771,T;A,BOATENG,Sassuolo,18,18,0,0.9
443,531,A,BERARDI,Sassuolo,17,17,0,0.9
444,1857,W;A,DI FRANCESCO F,Sassuolo,16,16,0,
445,183,Pc,BABACAR,Sassuolo,13,13,0,0.6
446,509,Por,CONSIGLI,Sassuolo,9,9,0,0.9
447,526,M;C,DUNCAN,Sassuolo,9,9,0,0.8
